연번,소관명,세부사업명,예산(백만원)
1,고용노동부,고용안정장려금,185191
2,고용노동부,고용유지지원금,598058
3,고용노동부,고용창출장려금,686888
4,고용노동부,고용장려금(융자),5455
5,고용노동부,일터혁신지원,25720
6,고용노동부,사회적기업진흥원운영지원,64402
7,고용노동부,유해작업환경개선,79348
8,고용노동부,안전인증및안전검사,7855
9,고용노동부,클린사업장조성지원,450853
10,고용노동부,산재예방시설융자(융자),356328
11,고용노동부,사업주직업훈련지원금,274429
12,고용노동부,일자리안정자금지원,463538
13,고용노동부,지역고용촉진지원금,4641
14,고용노동부,중견중소기업현장훈련지원,11121
15,고용노동부,청년내일채움공제(고보),434414
16,고용노동부,장애인고용증진융자(융자),9025
17,과학기술정보통신부,SW산업해외진출역량강화(정보화),2971
18,과학기술정보통신부,스마트미디어산업육성기반구축(정보화),3080
19,과학기술정보통신부,VRAR콘텐츠산업육성,89710
20,과학기술정보통신부,디지털콘텐츠기업경쟁력강화,19778
21,과학기술정보통신부,DB산업육성(정보화),6483
22,과학기술정보통신부,정보통신기반보호강화(정보화),28518
23,과학기술정보통신부,SW산업기반확충,90753
24,과학기술정보통신부,ICT융합제조운영체제개발및실증(R&D),5500
25,과학기술정보통신부,지역SW산업진흥지원(정보화/제주),533
26,과학기술정보통신부,지역SW산업진흥지원(정보화/세종),533
27,과학기술정보통신부,지역SW산업진흥지원(정보화/지역지원),15498
28,과학기술정보통신부,글로벌SW전문기업육성(R&D),4380
29,과학기술정보통신부,인공지능중심산업융합집적단지조성,61331
30,과학기술정보통신부,지능정보산업인프라조성,151178
31,과학기술정보통신부,클라우드컴퓨팅산업육성(정보화),76468
32,과학기술정보통신부,방송장비산업인프라구축(정보화),1822
33,과학기술정보통신부,전파기반신산업창출및중소기업육성,3089
34,과학기술정보통신부,ICT창의기업육성,16152
35,과학기술정보통신부,민관협력기반ICT스타트업육성(R&D),8000
36,과학기술정보통신부,정보통신응용기술개발지원(융자),16388
37,과학기술정보통신부,정보통신시험인증허브기반구축(정보화),175
38,과학기술정보통신부,ICT미래시장최적화협업기술개발(R&D),5400
39,과학기술정보통신부,ICT기반개방형혁신제품서비스개발지원(R&D),3920
40,과학기술정보통신부,나노융합2020+(Plus)(R&D),5400
41,과학기술정보통신부,산학연협력활성화지원(R&D),26400
42,관세청,수출입화물검사지원,7346
43,교육부,맞춤형국가장학금지원,4656663
44,교육부,대학창업활성화,10000
45,교육부,고교취업연계장려금지원,155500
46,교육부,전문대학조기취업형계약학과선도대학육성지원,8400
47,교육부,조기취업형계약학과선도대학육성,435929
48,국토부,물류산업지원,4999
49,국토부,국토교통기술사업화지원(R&D),48319
50,국토부,국토교통기술사업화를위한이어달리기사업(R&D),3168
51,금융위원회,코넥스시장활성화지원,748
52,금융위원회,팩토링금융,59625
53,기상청,미래유망민간기상서비스성장기술개발(R&D),1050
54,기획재정부,그린뉴딜유망기업100(R&D),17417
55,기획재정부,창업성장기술개발(R&D)(기금),15613
56,기획재정부,기술혁신형에너지강소기업육성(R&D),5177
57,기획재정부,탄소혁신스타즈프로젝트,3840
58,기획재정부,반도체디스플레이온실가스감축공정기술개발(R&D),2162
59,기획재정부,온실가스관리인프라구축,122050
60,기획재정부,대기환경관리기술사업화연계기술개발사업(R&D),10599
61,기획재정부,중소환경기업사업화지원사업(기금),37500
62,기획재정부,친환경설비투자,50000
63,농림축산식품부,농생명산업기술개발(R&D),1876
64,농림축산식품부,농식품기술융합창의인재양성(R&D),9670
65,농림축산식품부,유용농생명자원산업화기술개발(R&D),4634
66,농림축산식품부,첨단생산기술개발(R&D),900
67,농림축산식품부,농기자재수출활성화,2009
68,농림축산식품부,농식품벤처창업활성화지원,24334
69,농림축산식품부,스마트팜ICT기자재국가표준확산지원,4100
70,농림축산식품부,농식품모태펀드출자,40000
71,농림축산식품부,농식품글로벌경쟁력강화,85483
72,농림축산식품부,농식품글로벌육성지원자금(융자),402882
73,농림축산식품부,농식품해외시장진출,44635
74,농림축산식품부,고부가가치식품기술개발(R&D),33816
75,농림축산식품부,기능성식품산업육성,6331
76,농림축산식품부,식품외식종합자금(융자),161800
77,농림축산식품부,전통발효식품육성,11911
78,농림축산식품부,도매유통활성화지원(융자),105000
79,농림축산식품부,사료산업종합지원(융자),64749
80,농림축산식품부,디지털육종전환기술개발(R&D),10050
81,문화체육관광부,게임산업육성,61121
82,문화체육관광부,관광사업창업지원및벤처육성,76354
83,문화체육관광부,공간정보기반실감형콘텐츠융복합및혼합현실제공기술개발(R&D),632
84,문화체육관광부,관광산업융자지원(융자),649000
85,문화체육관광부,음악산업및대중문화산업육성,54475
86,문화체육관광부,문화기술연구개발(R&D),57085
87,문화체육관광부,문화콘텐츠투자활성화,33680
88,문화체육관광부,지역콘텐츠산업균형발전지원,50061
89,문화체육관광부,콘텐츠산업생태계조성,46173
90,문화체육관광부,지역신문발전지원,8264
91,문화체육관광부,방송영상콘텐츠산업육성,46071
92,문화체육관광부,스포츠산업금융지원(융자),184000
93,문화체육관광부,스포츠산업활성화지원,66564
94,문화체육관광부,스포츠서비스사업화지원(R&D),3007
95,문화체육관광부,문화중심도시육성(지자체),44443
96,문화체육관광부,영상콘텐츠산업육성,71420
97,문화체육관광부,저작권보호및이용활성화기술개발(R&D),8106
98,문화체육관광부,전통문화창업및융합활성화,6500
99,문화체육관광부,스포츠산업혁신기반조성(R&D),13672
100,방송통신위원회,지역밀착형방송광고활성화기반구축,2132
101,방송통신위원회,혁신형중소기업방송광고활성화지원,1591
102,방위사업청,방위산업수출지원,63782
103,방위사업청,방산기술보호,5862
104,방위사업청,민군기술협력(R&D)(방사청),158950
