연번,지자체명,세부사업명,  예산(백만원)  
1,강원도,소상공인창업및경영안정융자금이차보전추진,2433
2,강원도,유통업활성화추진,169
3,강원도,재해소상공인이차보전추진,630
4,강원도,화재알림시설설치(국고),24
5,강원도,관광사업체활성화지원,192
6,강원도,강원경제선도중소기업발굴육성지원,224
7,강원도,공예산업육성및브랜드화,60
8,강원도,마케팅역량강화및제품경쟁력제고,527
9,강원도,중소기업간네트워크구축및혁신활동지원,16
10,강원도,중소기업경영활성화시책추진,5822
11,강원도,중소기업육성자금이차보전,10494
12,강원도,창업보육센터특성화육성,605
13,강원도,특수목적지원자금운영,25000
14,강원도,축산물작업장위생설비개선지원,156
15,강원도,강원의료기기전시회개최지원,122
16,강원도,마을기업육성,124
17,강원도,마을기업육성(국고),105
18,강원도,사회적경제육성기반구축,759
19,강원도,사회적경제조직활성화추진,928
20,강원도,사회적기업육성,116
21,강원도,수산업가공산업육성(전환사업),733
22,강원도,수산산업창업·투자지원사업(국고),600
23,강원도,식품위생업소시설개선융자사업,200
24,강원도,유통식품및위생업소관리,881
25,강원도,농식품산업기반구축,278
26,강원도,강원도사회보험료지원,8034
27,강원도,생계형1인자영업자사회보험료지원,2409
28,강원도,취업촉진사업추진,24406
29,강원도,폐광지역이전기업등지원,5715
30,강원도,뿌리기술경쟁력강화지원,90
31,강원도,스마트공장보급확산,603
32,강원도,전략기반성장동력산업집중육성,1248
33,강원도,스마트특성화기반구축(국가직접지원),2700
34,강원도,강원ICT융합신기술기업지원,77
35,강원도,전자상거래활성화추진,739
36,강원도,해외규격인증획득지원,400
37,강원도,지역산업마케팅지원(전환사업),2200
38,강원도,G-스타트업창업지원,1357
39,강원도,지역강소기업경쟁력강화사업(국가직접지원),250
40,강원도,마을기업육성컨설팅등지원(전환사업),520
41,강원도,사회적경제혁신성장사업(국가직접지원),237
42,강원도,전략기반성장동력산업집중육성(국가직접지원),5901
43,강원도,강원바이오유망기업육성,160
44,강원도,강원소규모의료기기기업엑셀러레이팅지원,400
45,강원도,공공구매활성화추진,36
46,강원도,품질경영활성화지원,20
47,강원도,농수산식품수출경쟁력강화,1904
48,강원도,사회적기업육성(일자리창출)(국고),367
49,강원도,사회적기업육성(사회보험료)(국고),20
50,강원도,강원도정규직일자리취직지원,96719
51,강원도,사회적기업육성(사업개발비)(국고),135
52,강원도,중소기업특별지원지역입주기업지원,1173
53,강원도,강원형벤처펀드조성및운영,9500
54,강원도,강원형벤처펀드투자생태계조성지원,150
55,강원도,중소기업협동조합활성화,25
56,강원도,지식재산창출지원(국가직접지원),1360
57,강원도,지식재산기반창업촉진(국가직접지원),993
58,강원도,중화항체치료제개발지원센터구축(국가직접지원),200
59,강원도,면역항체치료소재개발지원센터구축,1240
60,경기도,동반성장사업추진(자체/직접),702
61,경기도,경기도바이오기업R&DB종합지원(자체/직접),1475
62,경기도,과학기술진흥지원,2760
63,경기도,기술개발사업(자체/직접),5000
64,경기도,기술닥터(자체/지원),1606
65,경기도,기술닥터(자체/직접),900
66,경기도,소재·부품·장비산업자립화연구지원사업(자체/직접),10000
67,경기도,지식재산보호강화(자체/직접),876
68,경기도,지식재산창출및창업지원(자체/직접),2900
69,경기도,테크노파크운영지원(자체/직접),1654
70,경기도,차세대수소에너지기술개발지원사업(자체/직접),650
71,경기도,노동안전보건우수기업인증(자체/직접),175
72,경기도,해외시장개척(자체/직접),350
73,경기도,데이터산업육성지원(자체/직접),300
74,경기도,반려동물산업창업지원(전환)(자체/직접),300
75,경기도,3D프린팅기술지원(자체/직접),300
76,경기도,VR/AR산업육성(자체/직접),5200
77,경기도,경기도로봇산업육성지원(자체/직접),610
78,경기도,경기도형스마트공장구축지원(자체/직접),700
79,경기도,드론산업육성지원(자체/직접),585
80,경기도,뷰티산업육성지원(자체/직접),350
81,경기도,여성창업지원(자체/직접),835
82,경기도,북부중소기업수질개선지원사업(자체/지원),328
83,경기도,중소사업장연료전환지원사업(국비/지원),360
84,경기도,경기도협동조합공유ㆍ협업모델지원(자체/직접),1000
85,경기도,공유기업발굴육성(자체/직접),350
86,경기도,공정무역활성화지원(자체/직접),202
87,경기도,마을기업육성(지정)(균특/지원),740
88,경기도,사회적경제기업사업개발비지원(국비/지원),142
89,경기도,온라인플랫폼운영마케팅지원(자체/지원),100
90,경기도,사회적경제조직육성및지원,4950
91,경기도,물산업신기술실증화지원(자체/직접),350
92,경기도,물산업해외마케팅지원및지방외교활성화(자체/직접),50
93,경기도,1인소상공인고용보험료지원(자체/직접),690
94,경기도,소상공인재창업지원(자체/직접),900
95,경기도,푸드트럭활성화지원(자체/직접),90
96,경기도,혁신소공인육성사업(자체/직접),600
97,경기도,여성창업지원(자체/지원),63
98,경기도,경기수출기업경쟁력강화(자체/직접),730
99,경기도,경기우수상품해외전시회(해외G-FAIR)(자체/직접),600
100,경기도,글로벌수출기업육성(자체/직접),800
101,경기도,글로벌히트상품창출지원(자체/직접),1100
102,경기도,대한민국우수상품전시회(G-FAIRKOREA)(자체/직접),1500
103,경기도,수출기반강화(자체/직접),1330
104,경기도,온라인해외마케팅지원(자체/직접),900
105,경기도,지역산업마케팅지원(전환)(자체/직접),500
106,경기도,일자리우수기업인증및고용환경개선(자체/직접),796
107,경기도,제조-서비스업융복합사업육성지원(자체/직접),270
108,경기도,경기기술창업지원프로그램(자체/직접),1330
109,경기도,경기도대학생융합기술창업지원(자체/직접),580
110,경기도,경기도창업플랫폼운영(자체/직접),370
111,경기도,경기벤처창업지원센터운영지원(자체/직접),1763
112,경기도,기술이전창업지원(자체/직접),250
113,경기도,스타트업랩운영지원(자체/직접),720
114,경기도,재도전사업자지원(자체/직접),540
115,경기도,지역맞춤형경제활성화(자체/직접),1500
116,경기도,창업보육센터운영지원(자체/직접),350
117,경기도,북부경기문화창조허브운영(전환)(자체/직접),1800
118,경기도,판교경기문화창조허브운영(전환)(자체/직접),1500
119,경기도,글로벌기업연계부품국산화지원사업,1370
120,경기도,글로벌비즈니스기업매칭사업(자체/직접),320
121,경기도,가구기업제품개발및마케팅지원(자체/직접),600
